treatment,participant,session,earnings,lospade_max,max1,choice1,max2,choice2,max3,choice3,max4,choice4,max5,choice5,max6,choice6,max7,choice7,experience,exp_group,gender,math,school,is_econ,native,nationality,age
"Pre+Amount",2,11,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",4,"Some","Male","NonMath","ART",0,"Native","COL",41
"Pre+Amount",3,11,6.25,0,1,"Qheart",1,"5spade",0,"4spade",1,"Kdiamond",0,"Aspade",1,"3spade",1,"2spade",0,"None","Female","Math","ENV",0,"Native","GBR",19
"Pre+Amount",4,11,6.75,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",0,"4diamond",1,"2spade",0,"None","Female","Math","CMP",0,"NonNative","MUS",19
"Pre+Amount",5,11,7,.5,1,"Qheart",1,"5spade",0,"4spade",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",5,"Some","Female","NonMath","ENV",0,"Native","GBR",18
"Pre+Amount",6,11,6.35,.5,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",0,"Aspade",1,"3spade",1,"2spade",4,"Some","Female","NonMath","PSY",0,"Native","GBR",18
"Pre+Amount",7,11,7,.5,1,"Qheart",1,"5spade",0,"4spade",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",4,"Some","Male","Math","MTH",0,"Native","GBR",20
"Pre+Amount",8,11,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"5diamond",2,"Some","Male","Math","NBS",0,"Native","GBR",21
"Pre+Amount",9,11,7,.5,1,"Qheart",1,"5spade",0,"4spade",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",2,"Some","Female","Math","NBS",0,"NonNative","PSE",
"Pre+Amount",10,11,5.8,1,1,"Qheart",0,"3diamond",1,"Jdiamond",1,"Kdiamond",1,"10diamond",0,"4diamond",1,"5diamond",0,"None","Female","Decline","ECO",1,"Native","GBR",20
"Pre+Amount",11,11,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",2,"Some","Male","Math","MTH",0,"Native","GBR",21
"Pre+Amount",12,11,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",1,"Some","Male","Math","ECO",1,"NonNative","MYS",23
"Pre+Amount",13,11,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",3,"Some","Male","Math","ECO",1,"Native","IND",19
"Pre+Amount",14,11,6.35,.5,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",0,"Aspade",1,"3spade",1,"2spade",1,"Some","Decline","Decline","MTH",0,"Decline","GBR",20
"Pre+Amount",15,11,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"5diamond",3,"Some","Female","Math","NBS",0,"Native","NGA",19
"Pre+Amount",28,21,6.25,0,1,"Qheart",1,"5spade",0,"4spade",1,"Kdiamond",0,"Aspade",1,"3spade",1,"2spade",0,"None","Female","Math","CMP",0,"Native","GBR",19
"Pre+Amount",29,21,6.25,0,1,"Qheart",1,"5spade",0,"4spade",1,"Kdiamond",0,"Aspade",1,"3spade",1,"2spade",2,"Some","Female","Math","LDC",0,"Native","GBR",19
"Pre+Amount",30,21,7,.5,1,"Qheart",1,"5spade",0,"4spade",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",1,"Some","Female","NonMath","EDU",0,"NonNative","WO",32
"Pre+Amount",31,21,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",0,"None","Female","Decline","CMP",0,"NonNative","VNM",20
"Pre+Amount",32,21,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",1,"Some","Female","NonMath","HIS",0,"Native","GBR",19
"Pre+Amount",33,21,7,.5,1,"Qheart",1,"5spade",0,"4spade",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",3,"Some","Female","NonMath","HIS",0,"Native","GBR",20
"Pre+Amount",34,21,5.9,0,1,"Qheart",1,"5spade",0,"4spade",1,"Kdiamond",0,"Aspade",0,"4diamond",1,"2spade",2,"Some","Male","Math","ENV",0,"Native","GBR",39
"Pre+Amount",35,21,6.9,.5,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",0,"8heart",1,"3spade",1,"2spade",2,"Some","Male","Math","NBS",0,"NonNative","TWN",23
"Pre+Amount",36,21,6.25,0,1,"Qheart",1,"5spade",0,"4spade",1,"Kdiamond",0,"Aspade",1,"3spade",1,"2spade",3,"Some","Male","NonMath","LAW",0,"NonNative","VNM",24
"Pre+Amount",37,21,7,.5,1,"Qheart",1,"5spade",0,"4spade",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",0,"None","Male","Math","ENV",0,"Native","USA",27
"Pre+Amount",38,21,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",5,"Some","Male","NonMath","LAW",0,"NonNative","LTU",18
