treatment,session,subject,period,board,expect,box,result,boardtype
independent,140311_1047,5,1,yellow,5,15,miss,high
independent,140311_1047,6,1,yellow,6,15,miss,high
independent,140311_1047,7,1,yellow,6,15,miss,high
independent,140311_1047,8,1,yellow,2,15,miss,high
independent,140311_1047,2,2,yellow,5,94,miss,high
independent,140311_1047,3,2,yellow,3,94,miss,high
independent,140311_1047,4,2,yellow,1,94,miss,high
independent,140311_1047,5,2,yellow,1,94,miss,high
independent,140311_1047,6,2,yellow,5,94,miss,high
independent,140311_1047,7,2,yellow,4,94,miss,high
independent,140311_1047,8,2,yellow,1,94,miss,high
independent,140311_1047,2,3,blue,5,52,miss,high
independent,140311_1047,3,3,blue,3,52,miss,high
independent,140311_1047,4,3,blue,1,52,miss,high
independent,140311_1047,5,3,blue,1,52,miss,high
independent,140311_1047,6,3,blue,6,52,miss,high
independent,140311_1047,7,3,blue,7,52,miss,high
independent,140311_1047,8,3,blue,2,52,miss,high
independent,140311_1047,2,4,blue,6,57,miss,high
independent,140311_1047,3,4,blue,3,57,miss,high
independent,140311_1047,4,4,blue,1,57,miss,high
independent,140311_1047,5,4,blue,1,57,miss,high
independent,140311_1047,6,4,blue,3,57,miss,high
independent,140311_1047,7,4,blue,7,57,miss,high
independent,140311_1047,8,4,blue,2,57,miss,high
independent,140311_1047,2,5,yellow,5,60,miss,high
independent,140311_1047,3,5,yellow,3,60,miss,high
independent,140311_1047,4,5,yellow,2,60,miss,high
independent,140311_1047,5,5,yellow,1,60,miss,high
independent,140311_1047,6,5,yellow,3,60,miss,high
independent,140311_1047,7,5,yellow,3,60,miss,high
independent,140311_1047,8,5,yellow,2,60,miss,high
independent,140311_1047,2,6,blue,5,71,hit,high
independent,140311_1047,3,6,blue,3,71,hit,high
independent,140311_1047,4,6,blue,2,71,hit,high
independent,140311_1047,5,6,blue,1,71,hit,high
independent,140311_1047,6,6,blue,3,71,hit,high
independent,140311_1047,7,6,blue,2,71,hit,high
independent,140311_1047,8,6,blue,2,71,hit,high
independent,140311_1047,2,7,yellow,5,68,hit,high
independent,140311_1047,3,7,yellow,3,68,hit,high
independent,140311_1047,4,7,yellow,1,68,hit,high
